x;Aceleracao
0.0297;0.0112
0.2865;0.0112
0.4661;0.0118
0.6856;-0.0259
0.9026;-0.0215
0.9976;0.9173
10.034;0.1362
10.041;0.5133
1.011;0.3113
10.422;16.178
10.503;12.005
11.426;19.812
15.973;19.819
16.703;21.177
20.519;19.826
25.066;19.832
29.626;19.438
29.835;15.264
29.898;10.011
30.096;-0.0224
3.031;0.3211
33.214;0.0161
37.761;0.0168
42.308;0.0174
46.491;0.0181
50.673;0.0187
5.522;0.0194
59.767;0.0201
64.313;0.0207
6.886;0.0214
73.407;0.0221
77.953;0.0228
79.999;0.0146
80.025;-10.629
80.062;-15.211
80.092;-23.949
8.01;-19.538
80.126;-0.5199
80.129;-28.446
80.159;-3.727
80.166;-33.112
80.474;-39.136
82.791;-40.066
85.928;-40.061
88.566;-39.463
89.763;-31.147
89.796;-38.358
90.007;-22.323
90.067;-14.093
90.083;-0.5439
9.05;-0.0772
92.573;0.046
94.866;-0.0086
96.811;0.0252
9.905;0.0259
