x;velocidade
0.056;-0.0116
0.4894;0.0055
0.5075;-0.0116
0.923;-0.0287
0.959;0.0055
10.847;0.1249
12.812;0.5175
14.596;0.893
15.668;10.979
15.846;11.491
17.452;14.904
17.811;15.246
19.418;1.866
20.812;2.172
22.049;24.301
23.173;26.667
23.882;27.535
24.863;29.678
25.847;31.461
27.811;35.387
27.812;35.216
28.911;38.064
30.316;39.654
34.831;39.654
37.206;4
39.346;39.654
40.249;39.654
44.765;39.654
4.928;39.654
50.182;39.825
54.517;39.825
57.346;39.785
60.117;39.654
62.011;39.892
64.632;39.654
66.676;39.785
69.148;39.654
70.231;39.654
74.747;39.654
79.261;39.825
80.542;36.923
81.039;35.161
81.649;32.827
82.757;2.856
83.864;24.463
8.479;20.366
85.898;16.099
87.005;12.003
88.112;0.7906
88.255;0.6667
89.219;0.381
90.864;0.0396
93.296;0.0645
9.538;0.0225
99.715;0.0225
